id,journal_text,ambience_type,duration_min,sleep_hours,energy_level,stress_level,time_of_day,previous_day_mood,face_emotion_hint,reflection_quality,emotional_state,intensity,face_missing,mood_missing,sleep_missing,time_enc,quality_enc,amb_cafe,amb_forest,amb_mountain,amb_ocean,amb_rain,face_enc,mood_enc,sleep_deficit,low_sleep_flag,stress_energy_ratio,stress_energy_product,net_wellbeing,contradiction_flag,productivity_proxy,text_len,text_quality_flag,text_clean
1,The ocean ambience helped me stop drifting and concentrate on my next steps. My to-do list feels less chaotic.,ocean,12,6.5,4,2,afternoon,mixed,calm_face,clear,focused,3,0,0,0,2,2,False,False,False,True,False,0,2,1.5,0,0.49875311720698257,8,2,0,23.880597014925375,19,0,the ocean ambience helped me stop drifting and concentrate on my next steps my to do list feels less chaotic
2,"I tried to relax during the forest ambience, yet my thoughts kept racing. I still feel a low buzz in my body.",forest,35,6.0,2,4,evening,calm,tired_face,vague,restless,3,0,0,0,3,0,False,True,False,False,False,5,0,2.0,0,1.9900497512437814,8,-2,0,17.45635910224439,22,0,i tried to relax during the forest ambience yet my thoughts kept racing i still feel a low buzz in my body
3,The forest session slowed my thoughts and I feel more settled now.,forest,3,6.0,2,1,night,overwhelmed,happy_face,clear,calm,3,0,0,1,4,2,False,True,False,False,False,1,4,2.0,0,0.49751243781094534,2,1,0,5.9405940594059405,12,0,the forest session slowed my thoughts and i feel more settled now
4,"the mountain ambience was pleasant, though i can't say it shifted my mood much. idk.",mountain,25,7.0,4,4,night,focused,calm_face,vague,neutral,1,0,0,0,4,0,False,False,True,False,False,0,1,1.0,0,0.9975062344139651,16,0,1,24.93765586034913,15,0,the mountain ambience was pleasant though i can t say it shifted my mood much idk
5,"The rain session gave me a pause, but the pressure is still sitting hard on me. I'm carrying too much in my head.",rain,25,5.0,3,5,afternoon,unknown,tense_face,clear,overwhelmed,5,0,1,0,2,2,False,False,False,False,True,4,6,3.0,0,1.6611295681063125,15,-2,0,14.970059880239521,23,0,the rain session gave me a pause but the pressure is still sitting hard on me i m carrying too much in my head
6,after the forest track i feel peaceful and less pulled in every direction. my shoulders feel less tense.,forest,12,8.0,3,2,morning,mixed,calm_face,vague,calm,3,0,0,0,1,0,False,True,False,False,False,0,2,0.0,0,0.6644518272425249,6,1,0,17.910447761194032,18,0,after the forest track i feel peaceful and less pulled in every direction my shoulders feel less tense
7,Nothing strong came up during the rain session; I feel fairly normal. At least I paused for a moment.,rain,20,6.5,2,4,early_morning,calm,neutral_face,conflicted,neutral,1,0,0,0,0,1,False,False,False,False,True,2,0,1.5,0,1.9900497512437814,8,-2,0,9.975062344139651,19,0,nothing strong came up during the rain session i feel fairly normal at least i paused for a moment
8,"even with the mountain session, my mind kept jumping between tasks.",mountain,12,6.0,3,4,morning,neutral,tense_face,clear,restless,4,0,0,0,1,2,False,False,True,False,False,4,3,2.0,0,1.3289036544850499,12,-1,0,8.977556109725686,11,0,even with the mountain session my mind kept jumping between tasks
9,I couldn't really settle into the cafe track; I kept thinking of everything at once. I still feel a low buzz in my body.,cafe,8,5.5,3,4,early_morning,mixed,neutral_face,vague,restless,4,0,0,0,0,0,True,False,False,False,False,2,2,2.5,0,1.3289036544850499,12,-1,0,5.985037406483791,24,0,i couldn t really settle into the cafe track i kept thinking of everything at once i still feel a low buzz in my body
10,The mountain ambience helped me stop drifting and concentrate on my next steps I should begin with the hardest task first,mountain,15,7.0,4,2,morning,overwhelmed,calm_face,conflicted,focused,3,0,0,0,1,1,False,False,True,False,False,0,4,1.0,0,0.49875311720698257,8,2,0,29.85074626865672,21,0,the mountain ambience helped me stop drifting and concentrate on my next steps i should begin with the hardest task first
